Nivel_Ingresos,Estado_Siniestro,Cliente_ID,Antigüedad_Maxima,Saldo_Pendiente,Saldo_Pendiente_Seg,Puntaje_Morosidad1,Puntaje_Morosidad2,Puntaje_Morosidad3,Puntaje_Morosidad4,Puntaje_Morosidad5,Puntaje_Morosidad6,Morosidad_total,Siniestros1,Siniestros2,Siniestros3,Siniestros4,Siniestros5,Siniestros6,Siniestros_total
Bajo,No_siniestro,379012,60,93.72,0,0,0,0,0,0,0,0,20,20,20,20,19,19,118
Medio_bajo,No_siniestro,51978,32,916.65,0,0,7,6,5,4,0,22,22,19,19,17,17,14,108
Bajo,No_siniestro,638559,95,567,0,0,0,0,0,0,0,0,18,18,18,18,18,18,108
Bajo,No_siniestro,84459,33,467.64,0,0,1,2,1,0,1,5,19,21,20,17,12,10,99
Medio_bajo,No_siniestro,88085,28,2644.94,0,4,3,2,2,2,2,15,24,18,15,14,14,13,98
Medio_bajo,Si_siniestro,162474,21,1817.61,0,3,3,2,1,2,1,12,22,20,16,15,13,10,96
Medio_bajo,No_siniestro,606039,0,0.07,0,0,0,0,0,0,0,0,16,17,16,14,14,17,94
Medio_bajo,No_siniestro,772351,39,5753.31,0,0,3,1,1,2,1,8,21,18,18,14,12,10,93
Bajo,Si_siniestro,631073,23,868.13,0,3,2,1,2,2,1,11,19,15,15,15,15,14,93
Bajo,No_siniestro,660411,56,246.36,0,0,0,0,0,0,0,0,15,15,15,16,16,15,92
Medio_alto,Si_siniestro,29259,130,1148.25,0,0,0,0,0,1,1,2,19,18,16,14,12,10,89
Bajo,No_siniestro,722907,21,1318.47,0,6,6,6,5,5,5,33,16,15,15,13,15,15,89
Bajo,No_siniestro,53804,45,378.99,0,0,1,0,1,0,1,3,20,18,17,13,10,10,88
Medio_bajo,No_siniestro,35384,55,721.65,0,0,0,0,0,0,0,0,0,0,22,22,22,21,87
Medio_bajo,Si_siniestro,438951,50,2357.69,0,3,7,7,7,7,7,38,14,13,16,15,14,14,86
Medio_bajo,No_siniestro,765302,34,52.51,0,0,0,0,0,0,0,0,14,14,14,14,15,15,86
Bajo,No_siniestro,559381,83,338.22,0,0,0,0,0,0,0,0,15,14,14,14,14,14,85
Bajo,No_siniestro,50406,83,398.78,0,0,0,0,1,3,3,7,16,16,14,15,13,10,84
Medio_bajo,Si_siniestro,336951,15,1059.24,0,3,3,3,3,2,3,17,16,15,14,14,11,11,81
Bajo,Si_siniestro,662716,15,458.47,0,3,3,3,3,3,3,18,14,14,14,14,12,11,79
Bajo,No_siniestro,621339,19,2780.23,0,1,1,1,1,1,1,6,16,16,13,11,11,11,78
Medio_bajo,Si_siniestro,643048,8,10982.54,0,3,2,2,1,1,1,10,41,27,5,3,0,0,76
Medio_bajo,No_siniestro,475289,52,0,0,0,0,0,0,0,0,0,13,13,13,13,12,12,76
Bajo,Si_siniestro,503670,40,727.75,0,3,2,3,2,2,2,14,15,14,14,11,11,11,76
Bajo,Si_siniestro,575926,7,5521.07,0,2,3,2,1,2,1,11,29,25,7,8,4,0,73
Medio_bajo,No_siniestro,219854,155,1980.66,0,0,0,0,0,0,0,0,12,12,12,12,12,12,72
Bajo,No_siniestro,564497,50,702.98,0,0,0,0,0,0,0,0,13,13,12,11,12,11,72
Medio_bajo,Si_siniestro,283611,12,7481.63,0,3,2,1,1,0,1,8,13,13,12,12,7,13,70
Bajo,No_siniestro,645458,23,1028.02,0,0,0,0,6,4,4,14,9,9,13,13,13,12,69
Bajo,No_siniestro,562273,18,1641.24,0,4,4,4,1,2,3,18,18,13,11,10,9,7,68
Moderado,No_siniestro,258750,49,1482.2,0,0,0,0,0,0,0,0,11,11,11,11,11,11,66
Medio_bajo,No_siniestro,422482,92,3383.07,0,0,1,0,0,0,0,1,14,11,12,11,11,7,66
Medio_bajo,Si_siniestro,141676,49,1660.92,0,2,0,1,1,2,1,7,19,19,12,8,4,3,65
Medio_bajo,No_siniestro,672789,46,0,0,0,0,0,0,0,0,0,10,10,10,11,11,11,63
Medio,No_siniestro,177002,26,469.66,0,3,4,3,3,2,3,18,14,13,11,11,7,5,61
Bajo,No_siniestro,83514,28,301.18,16604.72,1,0,0,3,2,1,7,12,11,10,9,10,9,61
Medio_bajo,Si_siniestro,155251,23,813.46,0,2,2,2,2,2,2,12,13,11,10,10,9,7,60
Medio_bajo,Si_siniestro,521271,47,735.41,0,0,7,7,7,6,5,32,14,10,9,9,9,9,60
Bajo,No_siniestro,472023,94,1056.56,0,1,0,0,0,1,1,3,0,12,12,12,12,12,60
Bajo,No_siniestro,116358,15,2010.13,0,6,5,4,5,3,3,26,16,12,11,8,7,6,60
Medio_bajo,No_siniestro,416996,15,8220.2,0,5,4,3,2,1,0,15,17,16,13,10,1,2,59
Bajo,No_siniestro,429668,99,0,0,0,0,0,0,4,3,7,7,7,7,11,15,12,59
Medio_bajo,No_siniestro,732074,0,1.35,0,0,0,0,0,0,0,0,13,11,11,10,8,5,58
Bajo,Si_siniestro,310853,50,0.2,0,0,7,7,7,7,7,35,12,11,10,10,8,7,58
Bajo,Si_siniestro,182019,40,785.57,0,0,0,0,1,0,2,3,11,11,11,8,9,7,57
Bajo,No_siniestro,248706,18,3564.03,0,0,0,0,0,0,0,0,11,11,10,9,8,7,56
Bajo,No_siniestro,704891,20,0,0,0,7,7,7,7,4,32,7,7,7,12,12,11,56
Medio_bajo,No_siniestro,285827,7,4772.52,0,4,3,2,1,1,0,11,23,21,11,0,0,0,55
Bajo,Si_siniestro,556341,10,1226.18,0,1,1,0,0,0,0,2,14,12,10,10,7,1,54
Medio_alto,No_siniestro,157021,163,2111.38,0,5,4,3,2,3,2,19,9,9,10,8,8,8,52
Bajo,No_siniestro,364321,11,208.14,0,6,7,7,7,6,5,38,9,9,9,7,10,8,52
Bajo,No_siniestro,556949,20,1495.65,0,2,2,2,2,2,2,12,10,10,9,9,7,7,52
Bajo,No_siniestro,572442,31,0,0,0,0,0,0,0,0,0,10,10,9,9,8,6,52
Medio_bajo,No_siniestro,438896,24,707.12,0,5,4,5,4,3,2,23,10,11,11,8,6,5,51
Bajo,No_siniestro,150182,45,0,0,0,7,7,7,7,7,35,8,8,8,8,9,10,51
Medio_bajo,Si_siniestro,544474,24,1983.18,0,2,7,7,7,7,7,37,10,7,11,11,5,5,49
Bajo,Si_siniestro,680584,11,2104.08,0,3,2,3,2,1,1,12,7,7,15,7,6,7,49
Medio_bajo,Si_siniestro,614360,40,143.6,0,2,1,0,0,0,0,3,8,8,8,8,8,8,48
Bajo,No_siniestro,20978,20,916.39,0,0,0,0,0,0,0,0,8,8,8,8,8,8,48
Medio_bajo,No_siniestro,502733,29,0,0,0,0,0,0,0,0,0,0,10,10,9,9,9,47
Bajo,Si_siniestro,222887,15,3896.85,0,3,3,2,3,2,3,16,11,9,9,7,6,5,47
Bajo,No_siniestro,649082,10,1207.96,0,0,0,0,0,0,0,0,9,9,8,7,7,7,47
Medio_alto,Si_siniestro,405577,81,11247.04,0,3,2,1,1,0,1,8,10,9,9,7,7,4,46
Bajo,No_siniestro,318839,1,2451.5,0,1,0,0,0,0,0,1,0,0,12,11,12,11,46
Bajo,No_siniestro,445995,13,391.7,0,4,3,2,1,0,0,10,9,9,10,8,8,2,46
Medio,Si_siniestro,53095,78,117.81,0,1,0,2,1,1,0,5,7,7,7,8,8,8,45
Moderado,No_siniestro,154505,27,8320.53,0,4,7,7,7,7,6,38,7,6,5,10,9,7,44
Medio_bajo,Si_siniestro,94161,9,5813.89,0,3,2,1,2,1,1,10,18,11,8,7,0,0,44
Medio_bajo,Si_siniestro,427999,35,2738.41,0,0,0,0,0,0,0,0,8,10,9,8,5,4,44
Medio_bajo,No_siniestro,614752,25,0,0,0,7,7,7,6,5,32,8,6,10,8,7,5,44
Medio_bajo,No_siniestro,753930,42,3350.16,0,5,4,3,3,3,2,20,11,9,9,9,3,3,44
Bajo,No_siniestro,608823,18,1730.48,0,2,1,1,1,1,0,6,12,9,7,6,5,5,44
Moderado,Si_siniestro,217588,169,20025.35,90678.55,2,1,1,0,0,0,4,15,12,7,4,3,2,43
Medio_bajo,Si_siniestro,395428,33,740.4,0,0,0,1,0,1,2,4,7,7,8,7,7,7,43
Bajo,Si_siniestro,577332,16,824,0,1,2,4,3,2,2,14,9,10,7,7,6,4,43
Bajo,No_siniestro,7382,17,1586.51,0,0,0,0,0,0,0,0,8,8,8,7,6,5,42
Medio_bajo,Si_siniestro,370758,45,2902.93,0,0,0,0,0,0,0,0,7,7,7,12,8,0,41
Bajo,No_siniestro,140929,45,2489.83,0,3,3,2,2,2,2,14,10,9,8,6,5,3,41
Moderado,Si_siniestro,587950,40,0.41,0,0,0,0,2,1,0,3,5,5,5,5,4,16,40
Medio,Si_siniestro,576523,10,1960.51,0,3,4,3,2,1,0,13,14,10,9,7,0,0,40
Bajo,No_siniestro,355752,15,1084.06,0,5,4,3,2,1,1,16,12,9,8,6,3,2,40
Medio_bajo,Si_siniestro,525668,31,4227,0,3,3,2,1,2,2,13,8,7,7,6,6,5,39
Medio_bajo,No_siniestro,558083,25,123.26,0,0,0,0,0,0,0,0,7,7,7,7,4,7,39
Medio,Si_siniestro,116292,12,1987.31,0,2,3,3,3,2,1,14,13,9,7,5,4,1,39
Medio,Si_siniestro,447128,18,368.56,0,0,2,1,0,0,0,3,19,19,1,0,0,0,39
Bajo,Si_siniestro,302078,16,653.84,0,3,3,2,1,2,4,15,7,7,6,6,6,7,39
Bajo,No_siniestro,368498,22,473.74,0,0,1,1,0,0,0,2,9,7,7,6,6,4,39
Bajo,Si_siniestro,502298,18,600.67,0,2,3,2,1,4,6,18,8,7,6,6,6,6,39
Bajo,No_siniestro,780104,19,1549.61,0,0,0,0,0,2,2,4,5,8,8,9,5,4,39
Moderado,No_siniestro,219149,91,17855.19,93282.28,0,0,0,0,0,1,1,8,7,6,6,5,6,38
Bajo,No_siniestro,142922,86,378.59,0,1,0,0,0,0,0,1,7,7,6,6,6,6,38
Bajo,No_siniestro,764710,43,262.05,0,0,0,0,0,0,1,1,6,6,6,6,7,7,38
Medio_bajo,No_siniestro,97435,9,14166.07,0,0,0,0,0,0,0,0,6,6,7,6,7,5,37
Medio_bajo,Si_siniestro,151934,9,10824.7,0,1,0,0,0,0,1,2,23,7,4,0,3,0,37
Bajo,No_siniestro,270977,20,278.93,0,3,3,2,2,2,2,14,4,5,4,4,11,9,37
Bajo,No_siniestro,651842,66,636.36,0,0,0,0,0,0,0,0,6,6,6,6,6,7,37
Bajo,No_siniestro,7574,14,427.01,0,6,5,4,3,2,1,21,8,8,7,6,6,2,37
Medio_bajo,No_siniestro,34578,175,393.73,0,0,0,0,0,0,0,0,6,6,6,6,6,6,36
Medio_bajo,No_siniestro,354960,44,282.24,0,1,1,1,1,1,1,6,6,6,6,6,6,6,36
Medio_bajo,No_siniestro,471811,94,1287.88,0,0,0,0,0,0,0,0,6,6,6,6,6,6,36
Medio_bajo,No_siniestro,690713,4,1980,0,5,7,7,7,0,0,26,5,5,8,6,6,6,36
Medio_alto,No_siniestro,226180,49,15936.3,28155.75,0,0,0,0,0,0,0,7,7,7,7,4,4,36
Bajo,Si_siniestro,221500,49,1058.34,0,3,3,2,2,2,1,13,7,6,6,6,6,5,36
Bajo,Si_siniestro,538663,11,647.29,0,2,3,2,2,2,2,13,7,7,7,7,5,3,36
Medio_bajo,Si_siniestro,551754,26,0.55,0,0,0,1,0,0,0,1,7,7,6,6,5,4,35
Medio_alto,No_siniestro,736465,12,6009.84,0,1,1,1,1,0,0,4,12,6,6,6,3,1,34
Bajo,Si_siniestro,248448,12,812.75,0,2,2,1,0,0,0,5,8,8,7,4,4,3,34
Bajo,Si_siniestro,507477,6,743.03,0,3,2,1,0,1,0,7,11,9,8,6,0,0,34
Bajo,Si_siniestro,771271,9,465.53,0,0,1,6,5,4,3,19,5,5,5,9,7,3,34
Bajo,No_siniestro,443184,11,785.7,0,4,3,3,2,2,3,17,7,8,7,5,4,3,34
Medio_bajo,No_siniestro,104213,36,1363.28,0,0,0,0,0,0,0,0,0,0,0,6,12,15,33
Medio_bajo,No_siniestro,155384,63,12449,0,0,0,0,0,0,0,0,6,6,5,5,6,5,33
Medio_bajo,No_siniestro,498588,18,701.37,0,0,0,0,0,0,0,0,11,7,7,5,2,1,33
Medio_bajo,Si_siniestro,723103,24,8913.05,0,3,7,6,5,4,3,28,7,8,8,4,4,2,33
Bajo,Si_siniestro,41124,11,1527.65,0,1,1,1,1,0,0,4,8,7,6,5,4,3,33
Bajo,No_siniestro,664344,21,707.67,0,0,0,0,0,0,0,0,6,6,5,6,5,5,33
Medio_bajo,No_siniestro,198496,55,1186.2,0,1,0,1,0,0,0,2,12,8,7,3,1,1,32
Medio_bajo,No_siniestro,788050,42,8618.68,0,4,3,3,2,1,1,14,11,7,7,3,2,2,32
Bajo,No_siniestro,658497,127,258.15,0,0,0,0,0,0,0,0,0,0,8,8,8,8,32
Medio_alto,No_siniestro,598656,24,0,0,0,7,7,7,7,7,35,4,5,5,5,5,7,31
Bajo,No_siniestro,472981,47,1359.96,0,0,0,0,0,0,0,0,4,3,3,8,6,7,31
Medio_bajo,Si_siniestro,230204,31,356.31,0,0,0,2,2,2,2,8,2,6,7,7,4,4,30
Medio_bajo,Si_siniestro,423168,8,7842.56,0,3,2,1,1,0,0,7,6,6,5,7,4,2,30
Medio_bajo,No_siniestro,53772,0,46.75,0,0,0,0,0,0,0,0,0,4,5,5,9,7,30
Medio_bajo,No_siniestro,80426,90,0,0,0,7,7,7,7,7,35,5,5,5,5,5,5,30
Medio_bajo,No_siniestro,242268,3,453.83,0,4,3,3,0,0,0,10,8,8,7,4,1,2,30
Bajo,No_siniestro,239904,56,1336.74,0,0,0,0,0,0,0,0,0,6,6,6,6,6,30
Bajo,No_siniestro,496439,7,887.16,0,0,2,1,0,1,0,4,7,6,6,4,5,2,30
Bajo,No_siniestro,667077,71,4508.81,0,0,0,0,0,0,0,0,5,5,5,5,5,5,30
Bajo,No_siniestro,402984,49,0,0,0,7,7,7,7,7,35,5,5,5,5,5,5,30
Medio_bajo,No_siniestro,137871,69,4673.33,0,0,1,0,0,0,0,1,5,5,5,5,6,3,29
Medio_bajo,Si_siniestro,421317,110,864.05,0,0,1,0,0,1,0,2,8,8,5,6,2,0,29
Medio,No_siniestro,54787,64,1591.01,0,0,7,6,5,4,3,25,4,5,5,5,5,5,29
Medio,No_siniestro,640487,1,188.31,0,0,0,0,0,0,0,0,0,0,7,6,7,9,29
Medio_bajo,Si_siniestro,290787,18,1100.43,0,2,2,1,0,0,0,5,7,5,4,4,4,4,28
Medio_bajo,Si_siniestro,525142,30,79.58,0,0,0,0,0,0,0,0,7,4,5,5,4,3,28
Medio_bajo,No_siniestro,700535,50,3329.71,0,4,5,4,3,2,1,19,9,9,6,2,1,1,28
Bajo,No_siniestro,109222,30,509.11,0,0,1,0,1,0,2,4,4,5,6,4,4,5,28
Medio_bajo,Si_siniestro,172459,22,1023.21,0,3,2,1,0,0,0,6,6,4,1,1,6,9,27
Bajo,Si_siniestro,293458,16,1179.41,0,3,2,1,0,1,1,8,8,5,4,4,4,2,27
Bajo,Si_siniestro,706196,31,152.48,0,3,2,2,2,2,1,12,5,5,5,4,4,4,27
Bajo,No_siniestro,301815,19,1647.16,0,5,4,3,2,1,0,15,8,6,8,3,2,0,27
Bajo,No_siniestro,683504,119,0,0,0,0,0,2,2,2,6,4,4,4,5,5,5,27
Medio_bajo,Si_siniestro,347978,29,1621.36,0,0,0,0,0,0,1,1,4,4,5,4,4,5,26
Medio_bajo,No_siniestro,706083,22,4496.68,0,1,1,4,3,2,2,13,3,3,7,5,4,4,26
Medio_alto,No_siniestro,73789,66,6942.33,77582.28,0,0,0,0,0,0,0,3,6,5,3,4,5,26
Medio_alto,No_siniestro,273152,47,14569.67,46322.02,0,0,0,0,0,0,0,4,5,5,5,4,3,26
Medio_alto,Si_siniestro,636867,12,20202,0,2,2,1,1,1,0,7,9,4,4,4,3,2,26
Bajo,Si_siniestro,74683,19,1547.21,0,3,2,1,2,3,2,13,6,4,4,5,4,3,26
Bajo,No_siniestro,191586,165,3368.43,0,1,1,1,1,1,1,6,7,5,5,3,3,3,26
Bajo,Si_siniestro,439322,14,724.07,0,2,2,1,1,2,1,9,5,5,3,4,5,4,26
Bajo,No_siniestro,522488,53,3353.37,0,5,4,3,2,1,2,17,5,6,4,4,4,3,26
Bajo,No_siniestro,540887,6,950.91,0,4,3,2,1,0,0,10,10,5,4,4,2,1,26
Bajo,No_siniestro,566643,27,3846.56,0,6,5,4,3,2,1,21,7,6,5,4,2,2,26
Moderado,No_siniestro,221608,88,546.9,0,0,0,4,3,2,2,11,3,3,6,5,4,4,25
Medio_bajo,No_siniestro,133772,21,1231.76,0,0,0,0,0,0,1,1,5,4,4,4,4,4,25
Medio_bajo,Si_siniestro,170418,6,1738.81,0,0,1,0,1,1,0,3,7,7,5,3,3,0,25
Medio_bajo,Si_siniestro,216615,93,1776.12,0,2,1,1,2,1,1,8,10,6,4,2,2,1,25
Medio_bajo,No_siniestro,683814,24,6067.27,0,0,0,0,0,0,0,0,6,6,5,4,2,2,25
Bajo,Si_siniestro,247589,8,824.71,0,0,3,2,2,1,2,10,7,8,6,4,0,0,25
Bajo,No_siniestro,342286,15,1768.38,0,1,1,1,1,1,1,6,6,5,5,4,4,1,25
Bajo,Si_siniestro,433059,12,1571.95,0,3,3,3,2,2,1,14,7,6,5,4,3,0,25
Bajo,Si_siniestro,498082,20,774.8,0,2,1,0,0,2,1,6,4,4,4,4,5,4,25
Bajo,No_siniestro,280819,59,0,0,0,7,7,7,7,7,35,5,4,5,4,3,4,25
Bajo,No_siniestro,679587,9,940.38,0,2,2,2,2,2,1,11,7,7,5,2,2,2,25
Medio_bajo,No_siniestro,523829,125,114.16,0,0,1,0,0,0,0,1,4,4,4,4,4,4,24
Medio_bajo,Si_siniestro,615092,12,1792.08,0,2,2,1,0,0,1,6,10,5,2,2,2,3,24
Medio_bajo,No_siniestro,707138,18,2352.8,0,0,0,0,0,0,0,0,4,4,4,4,4,4,24
Medio_bajo,No_siniestro,330746,10,142.27,0,0,0,0,1,0,0,1,6,5,4,4,3,2,24
Medio_bajo,No_siniestro,476109,22,0,0,0,0,0,0,0,2,2,4,4,4,4,3,5,24
Medio,No_siniestro,510886,49,5343.81,0,0,0,0,0,3,2,5,3,3,3,3,7,5,24
Bajo,No_siniestro,108721,25,2397.83,0,0,0,0,0,0,0,0,4,4,4,4,4,4,24
Bajo,Si_siniestro,481413,17,2016.57,0,2,2,2,2,3,2,13,6,5,5,3,3,2,24
Bajo,Si_siniestro,489012,30,1202.89,0,0,0,0,0,0,0,0,4,4,4,4,4,4,24
Bajo,No_siniestro,181546,14,543.17,0,5,4,3,2,1,0,15,8,7,6,3,0,0,24
Bajo,No_siniestro,691281,63,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,24
Medio_bajo,No_siniestro,64663,10,1910.83,0,0,0,0,0,0,0,0,12,7,2,2,0,0,23
Medio_bajo,No_siniestro,115656,36,478.78,0,0,2,1,1,0,0,4,4,4,5,4,3,3,23
Medio_bajo,Si_siniestro,155970,39,11403.07,0,3,3,2,1,0,0,9,9,7,3,1,2,1,23
Medio_bajo,Si_siniestro,216838,27,2322.18,0,3,3,2,2,2,1,13,7,7,5,2,1,1,23
Medio_bajo,Si_siniestro,245932,19,3769.01,0,0,0,0,0,1,0,1,3,4,4,4,4,4,23
Medio_bajo,Si_siniestro,475716,23,5829.56,0,3,2,1,0,3,2,11,9,4,4,0,4,2,23
Medio_bajo,No_siniestro,650029,40,3506.84,0,0,0,0,0,0,0,0,8,6,3,3,3,0,23
Medio_bajo,No_siniestro,664964,43,1192.75,0,0,0,0,0,0,0,0,4,4,4,4,4,3,23
Bajo,No_siniestro,110541,29,0.13,0,0,0,0,0,0,0,0,4,4,4,4,4,3,23
Bajo,No_siniestro,160452,53,100.21,0,0,6,5,4,5,3,23,2,7,5,4,3,2,23
Bajo,No_siniestro,434743,66,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,23
Medio_bajo,Si_siniestro,365679,14,1180.45,0,3,2,1,1,1,0,8,7,5,4,3,2,1,22
Medio_bajo,No_siniestro,366920,44,955.58,0,1,0,0,0,0,0,1,5,5,5,3,2,2,22
Medio_bajo,Si_siniestro,707912,12,658.01,0,3,2,2,2,1,2,12,7,7,3,2,2,1,22
Medio_alto,No_siniestro,757938,120,10371.17,37910.71,0,0,0,0,0,0,0,6,5,5,4,1,1,22
Bajo,No_siniestro,376424,22,828.42,0,4,3,2,1,2,1,13,5,5,4,3,3,2,22
Medio_bajo,No_siniestro,11618,132,1105.51,0,1,1,1,0,0,0,3,5,3,4,3,3,3,21
Medio_bajo,No_siniestro,73713,24,10.84,0,0,0,0,0,0,0,0,4,4,4,3,3,3,21
Medio_bajo,No_siniestro,116000,39,12112.59,0,0,0,1,0,1,1,3,5,6,6,2,1,1,21
Medio_bajo,No_siniestro,20049,0,0.08,0,0,0,0,0,0,0,0,0,4,4,5,4,4,21
Medio_bajo,No_siniestro,114903,20,1588.48,0,6,5,4,3,2,1,21,6,5,4,2,3,1,21
Medio_bajo,No_siniestro,333053,15,132.28,0,0,0,0,0,0,0,0,3,3,4,4,4,3,21
Medio_bajo,No_siniestro,706291,11,3565.12,0,4,3,2,3,2,1,15,7,7,2,2,2,1,21
Bajo,Si_siniestro,574580,40,785.49,0,1,0,1,0,2,1,5,4,5,3,6,2,1,21
Bajo,No_siniestro,649309,19,394.7,0,1,0,0,0,0,1,2,3,2,3,3,5,5,21
Bajo,Si_siniestro,649520,43,701.56,0,1,0,2,2,1,1,7,6,5,4,2,2,2,21
Bajo,No_siniestro,706959,13,2499.77,0,1,1,1,0,1,1,5,3,3,4,4,4,3,21
Bajo,Si_siniestro,710564,18,1630.16,0,2,1,0,0,1,0,4,6,6,3,2,2,2,21
Bajo,No_siniestro,117807,17,2982.15,0,5,5,5,4,3,2,24,6,5,4,3,2,1,21
Bajo,No_siniestro,314604,24,1907.76,0,0,0,2,3,2,2,9,3,3,4,5,3,3,21
Medio_bajo,Si_siniestro,224581,6,13525.13,0,1,1,0,0,0,0,2,11,7,2,0,0,0,20
Medio_bajo,No_siniestro,356794,21,1085.95,0,1,0,0,0,0,0,1,5,3,3,3,3,3,20
Medio_bajo,No_siniestro,154278,14,6238.49,0,0,3,2,1,0,1,7,5,5,4,3,2,1,20
Medio_alto,No_siniestro,292652,112,2638.39,28091.96,0,1,0,0,0,0,1,5,5,4,5,1,0,20
Bajo,Si_siniestro,325656,13,244.6,0,2,2,2,1,1,0,8,6,3,4,3,2,2,20
Bajo,Si_siniestro,370811,17,1032.68,0,0,0,0,0,0,0,0,3,3,4,4,4,2,20
Bajo,No_siniestro,432617,12,2136.17,0,0,1,2,1,1,1,6,3,2,3,5,4,3,20
Bajo,No_siniestro,284429,48,0,0,0,0,0,0,0,0,0,2,2,2,2,6,6,20
Moderado,No_siniestro,591761,109,805.43,0,0,0,0,0,0,0,0,1,4,4,3,3,4,19
Medio_bajo,Si_siniestro,571903,7,5888.17,0,1,0,0,0,0,0,1,7,5,3,3,1,0,19
Medio_bajo,No_siniestro,168270,42,1698.11,0,1,1,1,1,1,0,5,3,3,3,2,3,5,19
Bajo,Si_siniestro,165785,38,490.83,0,0,0,0,0,0,0,0,3,3,3,3,3,4,19
Bajo,No_siniestro,95412,47,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,19
Bajo,No_siniestro,528265,67,0,0,3,7,7,7,7,7,38,3,3,3,3,4,3,19
Bajo,No_siniestro,605343,25,119.85,0,2,2,2,2,2,2,12,1,3,4,4,4,3,19
Bajo,No_siniestro,623031,88,614.7,0,1,2,1,0,0,1,5,6,3,3,3,4,0,19
Medio_bajo,No_siniestro,16685,35,614.19,0,0,0,0,0,0,0,0,3,3,3,3,3,3,18
Medio_bajo,No_siniestro,95130,39,619.89,0,0,0,0,0,0,0,0,0,0,0,6,6,6,18
Medio_bajo,Si_siniestro,124287,8,1260.43,0,3,3,2,3,1,0,12,6,5,4,2,1,0,18
Medio_bajo,No_siniestro,135728,43,2560.9,0,0,0,2,1,0,1,4,1,3,8,4,2,0,18
